# Developer Reference: Validation Types to Error Codes Mapping
# 
# This CSV serves as a developer reference for:
# - Verifying implementation completeness between code and documentation
# - Cross-referencing test coverage in sample/kogaro-testbed/
# - Mapping validation types to specific Kubernetes spec paths
# - Supporting automated tooling and test generation
# 
# For user-facing documentation, see: ERROR-CODES.md
#
Category,Entity Type,Resource,Match Criteria,Validation Type,Error Code,Description,Severity,Test File
Security Validation,ServiceAccount,ClusterRoleBinding,subjects[].name matches ServiceAccount,serviceaccount_cluster_role_binding,KOGARO-SEC-011,ServiceAccount has ClusterRoleBinding 'admin-service-account-binding' with role 'cluster-admin',Error,serviceaccount-excessive-permissions.yaml
Security Validation,ServiceAccount,RoleBinding,subjects[].name matches ServiceAccount,serviceaccount_excessive_permissions,KOGARO-SEC-012,ServiceAccount has potentially excessive RoleBinding 'admin-role-binding' with role 'admin',Error,serviceaccount-excessive-permissions.yaml
Networking Validation,Service,Pod,spec.selector matches pod labels,service_selector_mismatch,KOGARO-NET-001,Service selector {app:nonexistent-app} does not match any pods,Warning,service-no-endpoints.yaml
Networking Validation,Service,Endpoints,Service name matches Endpoints name,service_no_endpoints,KOGARO-NET-002,Service has no ready endpoints despite matching pods,Error,service-no-endpoints.yaml
Networking Validation,Service,Container Port,spec.ports[].targetPort matches container ports,service_port_mismatch,KOGARO-NET-003,Service port (target: 9999) does not match any container ports in matching pods,Error,service-port-mismatch.yaml
Networking Validation,Pod,Service,Pod labels matched by any Service selector,pod_no_service,KOGARO-NET-004,Pod is not exposed by any Service (consider if this is intentional),Info,pod-unexposed.yaml
Networking Validation,NetworkPolicy,Pod,spec.podSelector matches pod labels,network_policy_orphaned,KOGARO-NET-005,NetworkPolicy selector does not match any pods in namespace,Warning,networkpolicy-orphaned.yaml
Networking Validation,Namespace,NetworkPolicy,Namespace contains NetworkPolicies but no default deny,missing_network_policy_default_deny,KOGARO-NET-006,Namespace has NetworkPolicies but no default deny policy,Warning,networkpolicy-missing-default-deny.yaml
Networking Validation,Ingress,Service,spec.rules[].http.paths[].backend.service.name,ingress_service_missing,KOGARO-NET-007,Ingress references non-existent service 'nonexistent-service',Error,ingress-missing-backend-service.yaml
Networking Validation,Ingress,Service Port,spec.rules[].http.paths[].backend.service.port,ingress_service_port_mismatch,KOGARO-NET-008,Ingress references service 'ingress-backend-service' port that doesn't exist,Error,ingress-port-mismatch.yaml
Networking Validation,Ingress,Pod,Service backend has ready pods,ingress_no_backend_pods,KOGARO-NET-009,Ingress service 'empty-backend-service' has no ready backend pods,Error,ingress-no-backend-pods.yaml
